,0,1,2,3,4,5,6,7,8,9
108,['Chiappini '],['Red organic still'],['2017'],"['\n', '\n']",['Tuscany'],"['30% ', ', 50% ', ', 20% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.20'],['€ 12.51']
109,"[""Torre d'Orti""]",['Red still'],['2018'],['\nIGT Veronese\n'],['Veneto'],"['45% ', ', 15% ', ', 40% ']",['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.37'],['€ 7.78']
110,['Brancaia '],['Red still'],['2016'],['\nIGT Toscano o Toscana\n'],['Tuscany'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 18.36'],['€ 14.70']
111,['Masseria Surani'],['Red still'],['2017'],['\n DOC Primitivo di Manduria\n'],['Apulia'],['100% '],['13.50% by volume'],"['0,75 l Standard']",,['€ 10.98']
112,['Cantine Leonardo da Vinci'],['Red still'],['2017'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"[', ', ', ']",['13.50% by volume'],"['0,75 l Standard']",,['€ 22.90']
113,['Casa di Terra'],['Red still'],['2018'],"['\n', '\n']",['Tuscany'],"['40% ', ', 30% ', ', 30% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.05'],['€ 13.69']
114,['Brancaia '],['Red still'],['2017'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"['10% ', ', 10% ', ', 80% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 13.94'],['€ 12.20']
115,['Firriato'],['Red organic still'],['2014'],['\nIGT Sicilia\n'],['Sicily'],"['60% ', ', 40% ']",['14.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 23.90'],['€ 19.36']
116,['Planeta'],['Red still'],['2016'],"[""\nDOC Noto Nero d'Avola\n""]",['Sicily'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 24.34'],['€ 21.96']
117,['Falesco'],['Red still'],['2016'],['\nIGT Lazio\n'],['Lazio'],['100% '],['14.50% by volume'],"['0,75 l Standard']",,['€ 47.99']
118,['Riondo'],['Red still'],['2016'],['\nDOC Valpolicella Ripasso\n'],['Veneto'],"[', ', ', ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.96'],['€ 9.50']
119,['Cottanera'],['Red still'],['2018'],['\nDOC Etna Rosso\n'],['Sicily'],"['20% ', ', 80% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.59'],['€ 8.70']
120,['Firriato'],['Red still'],['2017'],"[""\nDOC Sicilia Nero d'Avola\n""]",['Sicily'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 10.88'],['€ 8.89']
121,['Pietrefitte'],['Red still'],['2017'],['\nDOC Sannio Piedirosso\n'],['Campania'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 9.59'],['€ 7.32']
122,['La Valentina'],['Red still'],['2016'],"[""\nDOC Montepulciano d'Abruzzo Rosso Riserva\n""]",['Abruzzo'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 16.82'],['€ 13.51']
123,['Marchesi di Barolo'],['Red still'],['2018'],"[""\nDOC Dolcetto d'Alba\n""]",['Piedmont'],['100% '],['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.61'],['€ 9.50']
124,['Ka Mancine '],['Red still'],['2018'],['\nDOC Rossese di Dolceacqua\n'],['Liguria'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 16.82'],['€ 15.87']
125,['Ka Mancine '],['Red still'],['2018'],['\nDOC Rossese di Dolceacqua\n'],['Liguria'],['100% '],['12.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 16.82'],['€ 15.87']
126,['Marchesi di Barolo'],['Red still'],['2014'],['\nDOCG Barbaresco Riserva\n'],['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",,['€ 25.62']
127,['Vinica'],['Red still'],['2014'],['\nDOC Tintilia del Molise Rosso\n'],['Molise'],['100% '],['15.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 13.21'],['€ 9.66']
128,['Masi Agricola'],['Red still'],['2018'],['\nDOC Valpolicella Classico\n'],['Veneto'],"[', ', ', ']",['12.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 11.71'],['€ 8.50']
